STATE,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Avg. Wkly Benefit,Benefits Paid,Final Payments
California,902627,176872,11286023,11039599,282.47,2947447940,750446
Colorado,22520,15778,599983,663101,382.60,245145373,32558
Connecticut,22627,10131,612024,636895,297.06,172276575,41877
Delaware,13991,1530,119450,108917,240.89,25471963,7312
District of Columbia,7019,3569,228865,276236,342.28,89434861,17872
Florida,160873,69525,1912516,1285170,222.91,276565106,104968
Georgia,201790,17844,2118960,1925361,255.24,476849536,81643
Hawaii,28013,7960,514775,529061,444.50,229459000,26719
Idaho,12890,1860,45033,35208,319.28,9620994,2391
Illinois,121237,41338,2037013,2077769,315.54,651011188,100337
Indiana,68211,14741,614693,581164,221.93,126528739,26378
Iowa,22890,7880,247528,257231,364.34,84483435,15136
Kansas,65763,14209,210461,242102,355.53,83306098,13555
Kentucky,34347,4661,431232,373834,281.36,105421817,23271
Louisiana,61824,11549,949999,937974,183.45,169488458,43889
Maine,6040,2083,121823,108384,296.10,30910203,9235
Maryland,51244,5325,646835,477385,309.88,139430855,40709
Massachusetts,84802,28003,1359588,1640046,406.04,632141930,101098
Michigan,71112,23134,1601916,1320198,304.32,370145529,114315
Minnesota,46069,219,791357,749639,377.52,267763617,51557
Mississippi,18631,4763,342052,263518,186.93,47672352,15635
Missouri,36578,11515,324425,332901,240.08,74204229,25660
Montana,9141,359,82180,68307,372.92,19248752,3303
Nebraska,11096,2257,81804,64943,307.73,19385841,3610
Nevada,34370,12491,801405,695950,358.52,235126234,54520
New Hampshire,8921,2055,97435,92269,272.34,23856043,4403
New Jersey,106279,25187,1531478,1424531,398.60,530695741,91347
New Mexico,8411,4588,300147,282950,314.74,84789659,17406
New York,366532,71960,4782646,4491568,339.79,1384347569,425830
North Carolina,53164,17643,400179,319129,217.64,62623443,59433
North Dakota,3536,1274,48088,53723,479.06,25061192,3426
Ohio,65933,19187,1097877,951132,324.21,295507298,68519
Oklahoma,18579,6291,395560,374804,327.19,117963172,25192
Oregon,24511,21661,597822,549798,367.43,199873341,19161
Pennsylvania,96093,34486,2103212,2064143,335.91,636204746,107046
